P00,3.591,,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,3.328,,3.591,3.328,3.6,5.124,2.884,5.362,3.728,5.475,5.241,4.605,4.973,4.326,4.238,4.506,4,4.332066667
P02,3.6,,,,,,,,,,,,,,,,,
P03,5.124,,,,,,,,,,,,,,,,,
P04,2.884,,,,,,,,,,,,,,,,,
P05,5.362,,,,,,,,,,,,,,,,,
P06,3.728,,,,,,,,,,,,,,,,,
P07,5.475,,,,,,,,,,,,,,,,,
P08,5.241,,,,,,,,,,,,,,,,,
P09,4.605,,,,,,,,,,,,,,,,,
P10,4.973,,,,,,,,,,,,,,,,,
P11,4.326,,,,,,,,,,,,,,,,,
P12,4.238,,,,,,,,,,,,,,,,,
P13,4.506,,,,,,,,,,,,,,,,,
P14,4,,,,,,,,,,,,,,,,,
