P00,3.393,,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,3.034,,3.393,3.034,3.922,5.254,3.366,5.719,3.922,5.455,5.053,6.178,4.702,4.549,4.099,5.415,4.384,4.563
P02,3.922,,,,,,,,,,,,,,,,,
P03,5.254,,,,,,,,,,,,,,,,,
P04,3.366,,,,,,,,,,,,,,,,,
P05,5.719,,,,,,,,,,,,,,,,,
P06,3.922,,,,,,,,,,,,,,,,,
P07,5.455,,,,,,,,,,,,,,,,,
P08,5.053,,,,,,,,,,,,,,,,,
P09,6.178,,,,,,,,,,,,,,,,,
P10,4.702,,,,,,,,,,,,,,,,,
P11,4.549,,,,,,,,,,,,,,,,,
P12,4.099,,,,,,,,,,,,,,,,,
P13,5.415,,,,,,,,,,,,,,,,,
P14,4.384,,,,,,,,,,,,,,,,,
avg,=,,,,,,,,,,,,,,,,,
